class_base_key,class_title_base,organizer_studio_key,actual_location_key,movement_type,location_evidence_text,location_evidence_status,location_evidence_match_type,location_match_score_hint
너울너울소매틱뮤직handpandoodle,[너울너울] 소매틱뮤직 'Handpan Doodle',너울너울,너울너울,studio_or_indoor,📍 장소 @너울너울 (성산동 3-30) *지하철 1)가좌역 1번출구 도보7분 2)홍대입구역 2번출구 - 마을버스 6번 경의선숲길공원 입구 하차 - 도보 5분 *일반버스 1)사천교 정류장 2)성산2교 정류쟝 *자가용,matched_from_class_detail,address_without_city,100
대저택프라이빗deeprest인요가핸드팬사운드,[대저택프라이빗] Deep Rest 인요가 & 핸드팬 사운드,대저택프라이빗,대저택프라이빗,studio_or_indoor,📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스,matched_from_class_detail,address,100
대저택프라이빗gentlehathaflowinenglish,[대저택프라이빗] Gentle Hatha Flow in English,대저택프라이빗,대저택프라이빗,studio_or_indoor,📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스,matched_from_class_detail,address,100
대저택프라이빗tci기질검사로나를이해하고긍정감자키링만들기,"[대저택프라이빗] TCI 기질검사로 나를 이해하고, '긍정감자' 키링 만들기",대저택프라이빗,대저택프라이빗,studio_or_indoor,장소 서울특별시 서대문구 연희동 108-6 / 바운드하우스,matched_from_class_detail,address,100
대저택프라이빗단단하게뿌리내리며자유롭게흐르는빈야사,[대저택프라이빗] 단단하게 뿌리 내리며 자유롭게 흐르는 빈야사,대저택프라이빗,대저택프라이빗,studio_or_indoor,📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스,matched_from_class_detail,address,100
대저택프라이빗바디페인팅체감명상,[대저택프라이빗] 바디페인팅 체감명상,대저택프라이빗,대저택프라이빗,studio_or_indoor,📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스,matched_from_class_detail,address,100
대저택프라이빗봄햇살아래나른한힐링요가,[대저택 프라이빗]봄햇살 아래 나른한 힐링요가,대저택프라이빗,대저택프라이빗,studio_or_indoor,📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스,matched_from_class_detail,address,100
대저택프라이빗연결하는사운드배스,[대저택프라이빗] 연결하는 사운드 배스,대저택프라이빗,대저택프라이빗,studio_or_indoor,📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스,matched_from_class_detail,address,100
대저택프라이빗친해지고싶은사람과함께하는파트너링요가,[대저택프라이빗] 친해지고 싶은 사람과 함께 하는 파트너링 요가,대저택프라이빗,대저택프라이빗,studio_or_indoor,📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스,matched_from_class_detail,address,100
대저택프라이빗핸드팬사운드스케이프일렁illung,[대저택프라이빗]핸드팬 사운드스케이프 ‘일렁’ <Illung>,대저택프라이빗,대저택프라이빗,studio_or_indoor,📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스,matched_from_class_detail,address,100
데이스타콜라보연희스페셜요기를위한저강도크로스핏체험,[데이스타콜라보|연희스페셜] 요기를 위한 저강도 크로스핏 체험,데이스타콜라보,데이스타콜라보,studio_or_indoor,장소 : 연희로 107-1 B1층,matched_from_class_detail,address_without_city,100
마이트리빈야사,[마이트리] 빈야사,마이트리,마이트리,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,100
마이트리빈야사ad,[마이트리] 빈야사 AD,마이트리,마이트리,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,100
마이트리빈야사어드밴스,[마이트리] 빈야사 어드밴스,마이트리,마이트리,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,100
마이트리아쉬탕가,[마이트리] 아쉬탕가,마이트리,마이트리,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,100
마이트리얼라인요가,[마이트리] 얼라인 요가,마이트리,마이트리,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,100
마이트리연희스페셜roottorisevinyasa,[마이트리|연희스페셜] Root to Rise (Vinyasa),마이트리,마이트리,studio_or_indoor,,no_location_section,fallback_source_studio,
