service_month,studio_key,class_count,one_time_completed_count,pass_completed_count,unknown_completed_count,estimated_one_time_settlement_krw,estimated_pass_settlement_krw,estimated_total_settlement_krw,pass_usage_band_breakdown,class_unit_price_vat_included_krw,pass_settlement_rate_weighted_avg,settlement_estimate_status,assumption_note
2026-05,연남장,10,59,42,0,1401250,785824,2187074,1~9회:112; 10~99회:2,25000,0.7484,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-05,마이트리,13,40,35,0,950000,651170,1601170,1~9회:102; 10~99회:5,25000,0.7442,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-04,마인드플로우,5,26,39,0,617500,727289,1344789,1~9회:81; 10~99회:3,25000,0.7459,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-04,연남장,6,29,34,0,688750,633754,1322504,1~9회:70; 10~99회:3,25000,0.7456,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-04,시이작,11,27,33,0,641250,615002,1256252,1~9회:76; 10~99회:3,25000,0.7455,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-05,마인드플로우,6,36,20,0,855000,375000,1230000,1~9회:69,25000,0.75,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-05,대저택프라이빗,9,20,37,0,475000,692814,1167814,1~9회:66; 10~99회:1,25000,0.749,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-04,마이트리,9,5,45,0,118750,840974,959724,1~9회:84; 10~99회:2,25000,0.7475,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-04,연희정음,9,13,27,0,308750,506250,815000,1~9회:57; 10~99회:1,25000,0.75,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-05,시이작,13,16,16,0,380000,299535,679535,1~9회:70; 10~99회:2,25000,0.7488,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-04,빅블루요가,3,12,21,0,285000,388826,673826,1~9회:69; 10~99회:7,25000,0.7406,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-05,무릉,1,4,29,0,95000,543750,638750,1~9회:37,25000,0.75,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-05,빅블루요가,5,7,14,0,166250,262500,428750,1~9회:78,25000,0.75,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-04,숨명상센터,4,3,12,0,71250,220044,291294,1~9회:25; 10~99회:3,25000,0.7335,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-05,숨명상센터,2,3,2,0,71250,37500,108750,1~9회:7,25000,0.75,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-05,비전스트롤 콜라보,1,4,0,0,95000,0,95000,1~9회:6,25000,0.0,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
2026-05,너울너울,1,0,3,0,0,56250,56250,1~9회:13,25000,0.75,consumer_completed_use_estimate_needs_final_obud_statement,"Canceled reservations are subtracted by class/month/method. Pass settlement band is clarified as consumer-level monthly completed pass-use count. This project only observes Yeonhui Yoga Week ON STUDIO records, not each consumer's full Obud monthly usage, so the pass estimate is a lower-bound estimate until the final Obud settlement statement is available."
