source_dataset,source_file,source_page,source_row_index,source_line_start,source_line_end,class_name,description_raw,raw_record_text
class,1p.txt,1,1,22,22,[궁둥산] 몸으로 하는 자애 명상,해질녘 궁동산에서 하는 느긋하고 말랑말랑한 움직임 명상입니다. 나와 우리를 위한 사랑과 다정함을 몸에 품어봅니다. 오렌지빛 노을을 몸에 담으며 몰입과 알아차림의 시간을 경험합니다.	,[궁둥산] 몸으로 하는 자애 명상	해질녘 궁동산에서 하는 느긋하고 말랑말랑한 움직임 명상입니다. 나와 우리를 위한 사랑과 다정함을 몸에 품어봅니다. 오렌지빛 노을을 몸에 담으며 몰입과 알아차림의 시간을 경험합니다.	
class,1p.txt,1,2,23,23,[너울너울] 소매틱뮤직 'Handpan Doodle',"소매틱뮤직, '핸드팬 두들' 물방울 소리를 닮은 악기인 핸드팬 연주법을 익히며 소리로 낙서하고 춤춥니다. 촉각과 청각을 두드려 감각의 균형을 되찾고 자신만의 하모니와 리듬을 만들어요. 지금을 만나고, 나에게 몰입하는 예술표현 워밍업. -음악이 좋지만 악기연주는 어려웠던 분 -소리를 통해 자신의 마음의 리듬을 되찾고픈 분 -핸드팬이 어떤 악기인지 궁금한 분 -몰입을 통해 마음을 살피고 정돈이 필요한 분 -놀이하는 감각으로 명상을 경험하고픈 분 📍 장소 @너울너울 (성산동 3-30) *지하철 1)가좌역 1번출구 도보7분 2)홍대입구역 2번출구 - 마을버스 6번 경의선숲길공원 입구 하차 - 도보 5분 *일반버스 1)사천교 정류장 2)성산2교 정류쟝 *자가용 주차: 연남동 공영주차장 주차 후 도보 5분 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 *수업에 필요한 악기는 현장에 준비되어 있습니다. 너울너울 가벼운 몸과 맘으로 찾아주세요. 자신의 악기와 동행하셔도 좋아요. ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능합니다	","[너울너울] 소매틱뮤직 'Handpan Doodle'	소매틱뮤직, '핸드팬 두들' 물방울 소리를 닮은 악기인 핸드팬 연주법을 익히며 소리로 낙서하고 춤춥니다. 촉각과 청각을 두드려 감각의 균형을 되찾고 자신만의 하모니와 리듬을 만들어요. 지금을 만나고, 나에게 몰입하는 예술표현 워밍업. -음악이 좋지만 악기연주는 어려웠던 분 -소리를 통해 자신의 마음의 리듬을 되찾고픈 분 -핸드팬이 어떤 악기인지 궁금한 분 -몰입을 통해 마음을 살피고 정돈이 필요한 분 -놀이하는 감각으로 명상을 경험하고픈 분 📍 장소 @너울너울 (성산동 3-30) *지하철 1)가좌역 1번출구 도보7분 2)홍대입구역 2번출구 - 마을버스 6번 경의선숲길공원 입구 하차 - 도보 5분 *일반버스 1)사천교 정류장 2)성산2교 정류쟝 *자가용 주차: 연남동 공영주차장 주차 후 도보 5분 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 *수업에 필요한 악기는 현장에 준비되어 있습니다. 너울너울 가벼운 몸과 맘으로 찾아주세요. 자신의 악기와 동행하셔도 좋아요. ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능합니다	"
class,1p.txt,1,3,24,24,[대저택 프라이빗]봄햇살 아래 나른한 힐링요가,"수업 소개 봄을 맞아 겨우내 움츠러들었던 몸을 호흡과 함께 천천히 깨우는 힐링요가입니다. 무언가를 해내기보다 지금의 상태를 그대로 느끼고 받아들이는 시간을 중요하게 생각합니다. 부드럽지만 깊이 있게 움직이며, 몸과 마음의 회복이 필요한 분들을 기다립니다. 세션 설명 전신을 가볍게 풀어주는 저강도 하타요가입니다. 유연성이나 경험과 관계없이 누구나 편하게 참여할 수 있습니다. 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수 / 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	","[대저택 프라이빗]봄햇살 아래 나른한 힐링요가	수업 소개 봄을 맞아 겨우내 움츠러들었던 몸을 호흡과 함께 천천히 깨우는 힐링요가입니다. 무언가를 해내기보다 지금의 상태를 그대로 느끼고 받아들이는 시간을 중요하게 생각합니다. 부드럽지만 깊이 있게 움직이며, 몸과 마음의 회복이 필요한 분들을 기다립니다. 세션 설명 전신을 가볍게 풀어주는 저강도 하타요가입니다. 유연성이나 경험과 관계없이 누구나 편하게 참여할 수 있습니다. 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수 / 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	"
class,1p.txt,1,4,25,25,[대저택프라이빗] 단단하게 뿌리 내리며 자유롭게 흐르는 빈야사,"단단한 안정감 위에서, 더 가볍고 부드럽게 흐르는 움직임 대저택 프라이빗 공간에서 진행되는 안정과 흐름의 요가입니다. 바닥과의 연결을 통해 몸의 기반을 단단히 다지고, 그 위에서 더 가볍고 부드럽게 이어지는 움직임을 경험합니다. 자세와 자세는 자유롭게 흐르며, 몸과 마음에 자연스러운 여유를 만들어냅니다. - 몸의 중심과 안정감을 찾고 싶은 분 - 부드럽고 흐르는 움직임을 경험하고 싶은 분 - 조용한 공간에서 깊이 집중하고 싶은 분 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수 / 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	","[대저택프라이빗] 단단하게 뿌리 내리며 자유롭게 흐르는 빈야사	단단한 안정감 위에서, 더 가볍고 부드럽게 흐르는 움직임 대저택 프라이빗 공간에서 진행되는 안정과 흐름의 요가입니다. 바닥과의 연결을 통해 몸의 기반을 단단히 다지고, 그 위에서 더 가볍고 부드럽게 이어지는 움직임을 경험합니다. 자세와 자세는 자유롭게 흐르며, 몸과 마음에 자연스러운 여유를 만들어냅니다. - 몸의 중심과 안정감을 찾고 싶은 분 - 부드럽고 흐르는 움직임을 경험하고 싶은 분 - 조용한 공간에서 깊이 집중하고 싶은 분 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수 / 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	"
class,1p.txt,1,5,26,26,[대저택프라이빗] 바디페인팅 체감명상,"몸 위에 그리며, 감각으로 연결되는 새로운 명상 전용 바디아트 마커를 사용해 나와 타인의 몸을 캔버스 삼아 점, 선, 원을 그리고 연결하며 감각으로 소통하는 체감 예술 명상입니다. 말 대신 손과 시선으로 교감하며, 판단 없이 자유롭게 표현하고 몸의 감각을 통해 지금의 나를 천천히 알아가는 시간을 가집니다. - 생각이 많아 쉬어도 쉬어지지 않는 분 - 말이 아닌 다른 방식으로 표현하고 싶은 분 - 새롭고 자유로운 명상을 경험해보고 싶은 분 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수/ 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	","[대저택프라이빗] 바디페인팅 체감명상	몸 위에 그리며, 감각으로 연결되는 새로운 명상 전용 바디아트 마커를 사용해 나와 타인의 몸을 캔버스 삼아 점, 선, 원을 그리고 연결하며 감각으로 소통하는 체감 예술 명상입니다. 말 대신 손과 시선으로 교감하며, 판단 없이 자유롭게 표현하고 몸의 감각을 통해 지금의 나를 천천히 알아가는 시간을 가집니다. - 생각이 많아 쉬어도 쉬어지지 않는 분 - 말이 아닌 다른 방식으로 표현하고 싶은 분 - 새롭고 자유로운 명상을 경험해보고 싶은 분 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수/ 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	"
class,1p.txt,1,6,27,27,[대저택프라이빗] 연결하는 사운드 배스,"소리로 연결되고, 깊이 이완되는 프라이빗 사운드 배스 대저택 프라이빗 공간에서 진행되는 깊은 휴식의 사운드 배스입니다. 잔잔하게 울리는 진동과 소리에 몸을 맡기며, 긴장된 신체와 감정을 부드럽게 풀어냅니다. 외부와의 연결을 잠시 내려놓고, 나와 감각에 온전히 집중하는 시간을 가집니다. 조용하고 밀도 있는 공간에서 더 깊은 이완과 회복을 경험합니다. - 깊은 휴식과 이완이 필요한 분 - 소리와 진동을 통한 명상을 경험하고 싶은 분 - 조용한 공간에서 온전히 쉬고 싶은 분 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수 / 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	","[대저택프라이빗] 연결하는 사운드 배스	소리로 연결되고, 깊이 이완되는 프라이빗 사운드 배스 대저택 프라이빗 공간에서 진행되는 깊은 휴식의 사운드 배스입니다. 잔잔하게 울리는 진동과 소리에 몸을 맡기며, 긴장된 신체와 감정을 부드럽게 풀어냅니다. 외부와의 연결을 잠시 내려놓고, 나와 감각에 온전히 집중하는 시간을 가집니다. 조용하고 밀도 있는 공간에서 더 깊은 이완과 회복을 경험합니다. - 깊은 휴식과 이완이 필요한 분 - 소리와 진동을 통한 명상을 경험하고 싶은 분 - 조용한 공간에서 온전히 쉬고 싶은 분 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수 / 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	"
class,1p.txt,1,7,28,28,[대저택프라이빗] 친해지고 싶은 사람과 함께 하는 파트너링 요가,"함께 움직이며, 신뢰와 연결을 경험하는 요가 짝을 이루어 진행되는 파트너링 요가 클래스입니다. 서로의 몸에 기대고 무게를 나누며, 접촉을 통해 자연스럽게 소통하고 친밀감을 쌓아갑니다. 움직임 속에서 나와 타인에 대한 신뢰를 연습하며, 관계의 감각을 새롭게 경험합니다. 요가 경험과 관계없이 누구나 열린 마음으로 참여할 수 있습니다. - 가족, 친구, 연인과 함께 특별한 시간을 보내고 싶은 분 - 사람과의 연결과 신뢰를 경험해보고 싶은 분 - 함께 움직이며 즐거운 요가를 하고 싶은 분 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수 / 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	","[대저택프라이빗] 친해지고 싶은 사람과 함께 하는 파트너링 요가	함께 움직이며, 신뢰와 연결을 경험하는 요가 짝을 이루어 진행되는 파트너링 요가 클래스입니다. 서로의 몸에 기대고 무게를 나누며, 접촉을 통해 자연스럽게 소통하고 친밀감을 쌓아갑니다. 움직임 속에서 나와 타인에 대한 신뢰를 연습하며, 관계의 감각을 새롭게 경험합니다. 요가 경험과 관계없이 누구나 열린 마음으로 참여할 수 있습니다. - 가족, 친구, 연인과 함께 특별한 시간을 보내고 싶은 분 - 사람과의 연결과 신뢰를 경험해보고 싶은 분 - 함께 움직이며 즐거운 요가를 하고 싶은 분 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수 / 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	"
class,1p.txt,1,8,29,29,[대저택프라이빗] Deep Rest 인요가 & 핸드팬 사운드,"✔️ 수업 소개 몸을 깊게 이완시키고, 아무것도 하지 않는 상태로 들어가는 시간입니다. 긴 시간 머무르는 인요가 동작을 통해 근육이 아닌 결합조직과 신경계까지 이완시키고, 핸드팬의 부드러운 울림 속에서 호흡과 감각을 자연스럽게 내려놓습니다. 빠르게 움직이는 수련이 아닌, 멈추고 쉬는 연습을 통해 몸과 마음의 긴장을 풀어내는 시간입니다. ⸻ ✔️ 난이도 초급 (누구나 참여 가능) • 강한 유연성이나 근력이 필요하지 않습니다 • 동작을 ‘잘하는 것’보다 편안하게 머무는 것이 중심입니다 ⸻ ✔️ 추천 대상 • 피로가 누적된 분 / 회복이 필요한 분 • 스트레스, 긴장, 불면을 느끼는 분 • 운동은 하고 있지만 쉬는 방법을 모르는 분 • 요가가 처음이지만 부담 없이 시작하고 싶은 분 • 깊은 이완과 명상적 경험을 원하는 분 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수 / 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	","[대저택프라이빗] Deep Rest 인요가 & 핸드팬 사운드	✔️ 수업 소개 몸을 깊게 이완시키고, 아무것도 하지 않는 상태로 들어가는 시간입니다. 긴 시간 머무르는 인요가 동작을 통해 근육이 아닌 결합조직과 신경계까지 이완시키고, 핸드팬의 부드러운 울림 속에서 호흡과 감각을 자연스럽게 내려놓습니다. 빠르게 움직이는 수련이 아닌, 멈추고 쉬는 연습을 통해 몸과 마음의 긴장을 풀어내는 시간입니다. ⸻ ✔️ 난이도 초급 (누구나 참여 가능) • 강한 유연성이나 근력이 필요하지 않습니다 • 동작을 ‘잘하는 것’보다 편안하게 머무는 것이 중심입니다 ⸻ ✔️ 추천 대상 • 피로가 누적된 분 / 회복이 필요한 분 • 스트레스, 긴장, 불면을 느끼는 분 • 운동은 하고 있지만 쉬는 방법을 모르는 분 • 요가가 처음이지만 부담 없이 시작하고 싶은 분 • 깊은 이완과 명상적 경험을 원하는 분 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수 / 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	"
class,1p.txt,1,9,30,30,[대저택프라이빗] Gentle Hatha Flow in English,"KR 영어로 진행되는 요가 수업을 찾기 어려웠던 분들, 또는 외국인 친구와 함께 요가를 경험해보고 싶은 분들을 위한 시간입니다. 언어와 배경이 달라도 매트 위에서는 자연스럽게 함께 머물 수 있습니다. EN For those who have struggled to find yoga classes in English in Korea, or anyone who wants to practice with friends from different backgrounds. No matter where you’re from, this is a space to simply share time together on the mat. 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수 / 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	","[대저택프라이빗] Gentle Hatha Flow in English	KR 영어로 진행되는 요가 수업을 찾기 어려웠던 분들, 또는 외국인 친구와 함께 요가를 경험해보고 싶은 분들을 위한 시간입니다. 언어와 배경이 달라도 매트 위에서는 자연스럽게 함께 머물 수 있습니다. EN For those who have struggled to find yoga classes in English in Korea, or anyone who wants to practice with friends from different backgrounds. No matter where you’re from, this is a space to simply share time together on the mat. 📍 장소 서울특별시 서대문구 연희동 108-6/ 바운드하우스 ⏰ 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 🧘 준비물 개인매트 필수 / 편한 복장 / 물 🚗 주차 별도 주차 공간 없음 (대중교통 이용 권장) ❗ 안내 수업취소- 시작 시간 24시간 전까지 가능	"
class,1p.txt,1,10,31,31,"[대저택프라이빗] TCI 기질검사로 나를 이해하고, '긍정감자' 키링 만들기","나를 이해하고, 나를 응원하는 마음을 직접 만드는 시간 TCI 기질:성격 검사를 바탕으로 나의 타고난 성향을 이해하고, 그 결과를 통해 나만의 결을 있는 그대로 받아들이는 참여형 웰니스 세션입니다. 검사 해석 이후, 나를 응원하는 메시지를 담은 긍정감자' 키링을 직접 만들며 나를 돌보는 나만의 웰니스 리추얼을 완성합니다. - 나의 성향과 기질을 깊이 이해하고 싶은 분 - 자기이해와 마음 회복에 관심 있는 분 - 의미 있는 체험과 결과물을 함께 얻고 싶은 분 *해당 TCI 프로그램은 클래스 전 검사를 마쳐야하므로 미리 검사 진행을 위해 연락이 갈겁니다! 꼭 사전 응답을 해주셔야 프로그램의 원활한 참여가 가능합니다. 장소 서울특별시 서대문구 연희동 108-6 / 바운드하우스 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 준비물 편한 복장 / 물 - 개인매트 필요 없음, 편안하게 앉고 싶은 분들만 필요 주차 별도 주차 공간 없음 (대중교통 이용 권장) 안내 수업취소- 시작 시간 24시간 전까지 가능	","[대저택프라이빗] TCI 기질검사로 나를 이해하고, '긍정감자' 키링 만들기	나를 이해하고, 나를 응원하는 마음을 직접 만드는 시간 TCI 기질:성격 검사를 바탕으로 나의 타고난 성향을 이해하고, 그 결과를 통해 나만의 결을 있는 그대로 받아들이는 참여형 웰니스 세션입니다. 검사 해석 이후, 나를 응원하는 메시지를 담은 긍정감자' 키링을 직접 만들며 나를 돌보는 나만의 웰니스 리추얼을 완성합니다. - 나의 성향과 기질을 깊이 이해하고 싶은 분 - 자기이해와 마음 회복에 관심 있는 분 - 의미 있는 체험과 결과물을 함께 얻고 싶은 분 *해당 TCI 프로그램은 클래스 전 검사를 마쳐야하므로 미리 검사 진행을 위해 연락이 갈겁니다! 꼭 사전 응답을 해주셔야 프로그램의 원활한 참여가 가능합니다. 장소 서울특별시 서대문구 연희동 108-6 / 바운드하우스 입장 수업 10분 전부터 입장 가능합니다 (시작 후 입장이 제한될 수 있습니다) 준비물 편한 복장 / 물 - 개인매트 필요 없음, 편안하게 앉고 싶은 분들만 필요 주차 별도 주차 공간 없음 (대중교통 이용 권장) 안내 수업취소- 시작 시간 24시간 전까지 가능	"
