mention_public_id,platform,published_date,title,description,source_public_anonymous_id,search_queries,query_count,best_query_rank,matched_studio_terms,view_count,like_count,comment_count,channel_subscriber_count,event_confidence_score,confirmation_evidence_fields,source_url_internal_only,source_identity_handling,matched_studio_term
viral_mention_0001,naver_blog,2026-05-16,연희 요가 위크 초청 클래스 딥 어웨이크 하타 ( 2026.05 ),연희 요가 위크 초청 클래스 딥 어웨이크 하타 ( 2026.05 ),external_source_0022,연희요가위크;연희 요가 위크;연희요가위크 하타,3,6,,,,,,100,title;description,yes,"source name, source id, profile url, and exact url retained only in raw/interim files",UNMATCHED
viral_mention_0003,naver_blog,2026-05-13,2026 연희요가위크 끝! 나는 무엇을 수련하였는가?,"이 행사를 마무리 하면서 이런저런 이야기를 해주셨는데 그떄 이 요가위크의 행사 주최자인걸 알게됨... "" "" "" 여튼 연희요가위크를 통해서 연희동의 다양한 장소 그리고 요가원을 만날수있어서 즐거웠던...",external_source_0006,연희요가위크;연희 요가 위크;2026 연희요가위크;2026 연희 요가 위크;연희동 요가 위크;연희요가위크 오붓;오붓 연희요가위크;오붓 요가위크;마인드플로우 연희요가위크;시이작 연희요가위크;연희정음 연희요가위크;연남장 연희요가위크;대저택프라이빗 연희요가위크;연희요가위크 연남장;연희요가위크 마인드플로우;연희요가위크 시이작;연희요가위크 연희정음;연희요가위크 빈야사;연희요가위크 하타;연희요가위크 명상;마인드플로우 빈야사요가;마인드플로우 하타요가,22,1,,,,,,100,title;description,yes,"source name, source id, profile url, and exact url retained only in raw/interim files",UNMATCHED
viral_mention_0007,naver_blog,2026-05-07,예비 요가인의 연희 요가위크 4회 이용후기,9일까지 연희동에서 진행한 2026 연희요가 위크! 내돈내산 4회권 구매해서 수련하고 와봄! 예비 요가인으... 진짜 엄청 다양한 요소들과 콜라보한 수업도 있었서 이번 요가위크로 저렴한 가격에 접해볼 수 있는...,external_source_0008,연희요가위크;연희 요가 위크;2026 연희요가위크;2026 연희 요가 위크;연희동 요가 위크;연희요가위크 후기;연희 요가 위크 후기;연희요가위크 수업;연희요가위크 오붓;오붓 연희요가위크;오붓 요가위크;빅블루요가 연희요가위크;마이트리 연희요가위크;마인드플로우 연희요가위크;연희정음 연희요가위크;숨명상센터 연희요가위크;숨 명상센터 연희요가위크;데이스타콜라보 연희요가위크;연희요가위크 마이트리;연희요가위크 마인드플로우;연희요가위크 빅블루요가;연희요가위크 연희정음;연희요가위크 빈야사;연희요가위크 명상;빅블루요가 정렬 에센스;마인드플로우 빈야사요가,26,1,,,,,,100,title;description,yes,"source name, source id, profile url, and exact url retained only in raw/interim files",UNMATCHED
viral_mention_0013,naver_blog,2026-05-02,연희요가위크•연희시장•카프리팬츠코디룩•요가룩,연희동 #기록 #연희동 #연희동나들이 #연희시장 #연희요가위크 #요가 #부디무드라팬츠 #요가룩 #요가복추천 #일상 #연희소품샵 #연희동양말가게 #빈티지매장 #연희동프리마켓 #빈티지 #연희동옷가게...,external_source_0030,연희요가위크;연희 요가 위크;연희동 요가 위크;연희정음 연희요가위크;연희요가위크 연희정음,5,3,,,,,,100,title;description,yes,"source name, source id, profile url, and exact url retained only in raw/interim files",UNMATCHED
viral_mention_0016,naver_blog,2026-04-28,플랫화이트 맛집 | 연희동 커피 연희동 카페 | 연희요가위크 카페,매뉴팩트커피 연희 본점 | 플랫화이트 맛집 | 연희동 커피 연희동 카페 | 연희요가위크 카페 요즘 연희요가위크 덕분에 자주 오지 않던 연희동에 자주 오는데 참 멀고 좋은 동네입니다.. 뭔가 아기자기하고...,external_source_0007,연희요가위크;연희 요가 위크;연희동 요가 위크;연희정음 연희요가위크;연희요가위크 연희정음,5,12,,,,,,100,title;description,yes,"source name, source id, profile url, and exact url retained only in raw/interim files",UNMATCHED
viral_mention_0019,naver_blog,2026-04-26,연희요가위크에서 마고사운드 사일런트 소울무브 사운드 명상...,"연희요가위크는 연희동·연남동 권역의 요가 스튜디오와 문화 공간들이 연합해 구성한 도심 속 웰니스 페스티벌로, 올해는 4월 20일부터 5월 9일까지 3주에 걸쳐 요가 클래스·사운드 힐링·명상...",external_source_0032,연희요가위크;연희 요가 위크;2026 연희요가위크;2026 연희 요가 위크;연희요가축제;연희 요가 축제;연희동 요가 위크;연희동 요가 축제;연희요가위크 오붓;오붓 연희요가위크;오붓 요가위크;오붓 요가 축제;연희정음 연희요가위크;연남장 연희요가위크;숨명상센터 연희요가위크;숨 명상센터 연희요가위크;연희요가위크 연남장;연희요가위크 연희정음;연희요가위크 핸드팬;연희요가위크 명상,20,2,,,,,,100,title;description,yes,"source name, source id, profile url, and exact url retained only in raw/interim files",UNMATCHED
viral_mention_0031,naver_blog,2026-04-14,2026 연희요가위크 티켓 구매 / 요가 원데이클래스 추천,연희위크 회차에 따른 금액 특히 주말 클래스는 마감이 빨리 되니 관심있는 분들이라면 미리미리 티켓을 구매하는게 좋겠다. 연희요가위크에서는 요가 수업으로만 끝나지 않고 웰컴센터 연희에서 다양한...,external_source_0004,연희요가위크;연희 요가 위크;2026 연희요가위크;2026 연희 요가 위크;연희요가축제;연희 요가 축제;연희동 요가 위크;연희동 요가 축제;연희요가위크 수업;연희정음 연희요가위크;숨명상센터 연희요가위크;숨 명상센터 연희요가위크;연희요가위크 연희정음;연희요가위크 명상,14,8,,,,,,100,title;description,yes,"source name, source id, profile url, and exact url retained only in raw/interim files",UNMATCHED
viral_mention_0036,naver_blog,2026-05-01,2026 연희요가위크,연희동에서 열린 요가위크 우선 웰컴센터 연희에 가서 굿디백을 받고 모제이 팝업을 구경한다 (원데이도 굿디백 받을 수 있다) 신상 가방이 들어왔다는데 너무 귀엽다 제주에서 직접 염색한 가방이라고 한다 봄...,external_source_0016,연희요가위크;연희 요가 위크;2026 연희요가위크;2026 연희 요가 위크;연희동 요가 위크;연희요가위크 수업;연희요가위크 오붓;오붓 연희요가위크;오붓 요가위크;마인드플로우 연희요가위크;연희정음 연희요가위크;연남장 연희요가위크;연희요가위크 연남장;연희요가위크 마인드플로우;연희요가위크 연희정음;연희요가위크 빈야사;마인드플로우 빈야사요가,17,5,,,,,,95,title,yes,"source name, source id, profile url, and exact url retained only in raw/interim files",UNMATCHED
viral_mention_0037,naver_blog,2026-05-01,2026 연희요가위크 참여후기 & 구디백 언박싱,"혜택은 클래스 10회권 + 룰루레몬 특강과 함께 요가위크가 진행되는 3주간 오픈채팅방에서 서로를... 정렬요가, 인요가 등등) 주말, 공휴일에는 요가원 말고도 연희동에 있는 여러 장소에서 진행되는 사운드...",external_source_0015,연희요가위크;연희 요가 위크;2026 연희요가위크;2026 연희 요가 위크;연희동 요가 위크;연희요가위크 후기;연희 요가 위크 후기;연희요가위크 수업;연희요가위크 오붓;오붓 연희요가위크;오붓 요가위크;연희정음 연희요가위크;대저택프라이빗 연희요가위크;연희요가위크 연희정음;연희요가위크 빈야사;연희요가위크 하타;연희요가위크 아쉬탕가,17,1,,,,,,95,title,yes,"source name, source id, profile url, and exact url retained only in raw/interim files",UNMATCHED
viral_mention_0040,youtube,2026-04-24,연희요가위크 가요~ #요가 #요가일지 #연희요가위크 #연희동,,external_source_0033,연희요가위크;연희 요가 위크;2026 연희요가위크;2026 연희 요가 위크;연희동 요가 위크,5,1,,328,2,0,32,95,title,yes,"source name, source id, profile url, and exact url retained only in raw/interim files",UNMATCHED
